ampl.tab 2 1
gl	whp	qo
0.0	5.0	632.75048828125
0.0	10.0	540.215209960937
0.0	15.0	450.597015380859
0.0	20.0	340.548736572266
0.0	25.0	0.0
0.0	30.0	0.0
0.0	35.0	0.0
0.0	40.0	0.0
0.0	42.0	0.0
0.0	45.0	0.0
0.0	48.0	0.0
0.0	50.0	0.0
0.0	54.0	0.0
0.0	56.0	0.0
0.0	58.0	0.0
0.0	60.0	0.0
0.0	70.0	0.0
0.0	80.0	0.0
50000.0	5.0	777.129577636719
50000.0	10.0	718.731811523438
50000.0	15.0	662.311950683594
50000.0	20.0	608.24755859375
50000.0	25.0	556.725158691406
50000.0	30.0	507.493286132812
50000.0	35.0	461.195495605469
50000.0	40.0	417.549194335937
50000.0	42.0	400.799377441406
50000.0	45.0	376.3828125
50000.0	48.0	352.981201171875
50000.0	50.0	337.8544921875
50000.0	54.0	309.035217285156
50000.0	56.0	295.266571044922
50000.0	58.0	281.909698486328
50000.0	60.0	268.994781494141
50000.0	70.0	169.771667480469
50000.0	80.0	69.7589950561523
100000.0	5.0	826.69677734375
100000.0	10.0	782.319763183594
100000.0	15.0	735.847839355469
100000.0	20.0	690.625793457031
100000.0	25.0	646.468444824219
100000.0	30.0	603.630310058594
100000.0	35.0	561.960815429688
100000.0	40.0	521.560668945313
100000.0	42.0	505.936248779297
100000.0	45.0	482.895874023438
100000.0	48.0	460.559265136719
100000.0	50.0	445.972320556641
100000.0	54.0	417.490112304687
100000.0	56.0	403.635223388672
100000.0	58.0	389.919128417969
100000.0	60.0	376.550842285156
100000.0	70.0	313.760162353516
100000.0	80.0	257.781951904297
150000.0	5.0	843.33447265625
150000.0	10.0	807.866760253906
150000.0	15.0	770.256958007812
150000.0	20.0	731.5029296875
150000.0	25.0	692.693542480469
150000.0	30.0	654.215515136719
150000.0	35.0	615.982971191406
150000.0	40.0	578.724243164062
150000.0	42.0	564.018859863281
150000.0	45.0	542.267028808594
150000.0	48.0	520.752563476563
150000.0	50.0	506.720520019531
150000.0	54.0	479.145843505859
150000.0	56.0	465.691864013672
150000.0	58.0	452.416931152344
150000.0	60.0	439.289428710937
150000.0	70.0	376.292846679687
150000.0	80.0	318.210754394531
175000.0	5.0	846.29150390625
175000.0	10.0	813.234191894531
175000.0	15.0	778.402893066406
175000.0	20.0	742.428161621094
175000.0	25.0	706.394592285156
175000.0	30.0	670.183044433594
175000.0	35.0	633.925231933594
175000.0	40.0	598.066040039063
175000.0	42.0	583.7685546875
175000.0	45.0	562.578247070313
175000.0	48.0	541.713256835938
175000.0	50.0	527.997131347656
175000.0	54.0	500.869750976562
175000.0	56.0	487.476745605469
175000.0	58.0	474.395141601562
175000.0	60.0	461.460845947266
175000.0	70.0	398.996002197266
175000.0	80.0	340.636901855469
200000.0	5.0	848.034973144531
200000.0	10.0	816.11328125
200000.0	15.0	783.011535644531
200000.0	20.0	749.228698730469
200000.0	25.0	715.469299316406
200000.0	30.0	681.27734375
200000.0	35.0	646.968811035156
200000.0	40.0	612.806030273437
200000.0	42.0	599.195007324219
200000.0	45.0	578.676391601562
200000.0	48.0	558.402038574219
200000.0	50.0	544.860229492187
200000.0	54.0	518.278991699219
200000.0	56.0	505.219848632812
200000.0	58.0	492.210021972656
200000.0	60.0	479.452484130859
200000.0	70.0	417.651947021484
200000.0	80.0	359.320526123047
225000.0	5.0	848.718627929687
225000.0	10.0	818.024230957031
225000.0	15.0	785.400939941406
225000.0	20.0	753.137878417969
225000.0	25.0	721.151611328125
225000.0	30.0	688.712707519531
225000.0	35.0	656.255737304687
225000.0	40.0	623.606872558594
225000.0	42.0	610.466613769531
225000.0	45.0	590.747009277344
225000.0	48.0	571.364440917969
225000.0	50.0	558.343383789062
225000.0	54.0	532.463928222656
225000.0	56.0	519.577514648438
225000.0	58.0	506.877349853516
225000.0	60.0	494.190124511719
225000.0	70.0	433.108154296875
225000.0	80.0	374.994079589844
250000.0	5.0	848.796997070312
250000.0	10.0	818.712219238281
250000.0	15.0	787.103759765625
250000.0	20.0	755.165588378906
250000.0	25.0	724.266296386719
250000.0	30.0	693.402954101562
250000.0	35.0	662.185180664062
250000.0	40.0	630.910095214844
250000.0	42.0	618.285705566406
250000.0	45.0	599.60107421875
250000.0	48.0	580.789367675781
250000.0	50.0	568.071655273438
250000.0	54.0	543.162658691406
250000.0	56.0	530.775146484375
250000.0	58.0	518.300842285156
250000.0	60.0	506.034027099609
250000.0	70.0	445.899353027344
250000.0	80.0	388.197174072266
275000.0	5.0	848.385559082031
275000.0	10.0	819.364501953125
275000.0	15.0	788.354919433594
275000.0	20.0	757.04931640625
275000.0	25.0	725.828063964844
275000.0	30.0	695.83642578125
275000.0	35.0	665.773864746094
275000.0	40.0	635.662902832031
275000.0	42.0	623.787475585938
275000.0	45.0	605.484924316406
275000.0	48.0	587.313598632813
275000.0	50.0	575.241638183594
275000.0	54.0	551.03271484375
275000.0	56.0	538.996337890625
275000.0	58.0	526.99658203125
275000.0	60.0	514.965637207031
275000.0	70.0	456.033599853516
275000.0	80.0	399.230987548828
300000.0	5.0	847.576477050781
300000.0	10.0	819.596984863281
300000.0	15.0	789.151123046875
300000.0	20.0	758.245727539063
300000.0	25.0	727.299499511719
300000.0	30.0	697.167236328125
300000.0	35.0	667.663269042969
300000.0	40.0	638.621765136719
300000.0	42.0	626.957641601562
300000.0	45.0	609.381164550781
300000.0	48.0	591.614562988281
300000.0	50.0	579.932434082031
300000.0	54.0	556.456848144531
300000.0	56.0	544.769409179688
300000.0	58.0	533.102111816406
300000.0	60.0	521.314636230469
